Player,Ball lands,Ball hit from,Stroke Type,Ball hit to,In/out,Forced/Unforced,Double Fault,End of Point,End of Game,End of Set,End of Match
N,,Z12,S ,Net,,,,,,,
N,,Z12,S,Z3,In,,,,,,
D,Z3,Z12,BT,Z9,In,,,,,,
N,Z9,Z12,FT,Z10,In,,,,,,
D,Z10,Z13,BT,Z7,In,,,,,,
N,Z7,Z12,BT,Z2,In,,,,,,
D,Z2,Z12,FT,Z10,In,,,,,,
N,Z10,,,,No Hit,Forced,,Yes,,,
N,,Z13,S,,Net,,,,,,
N,,Z13,S,Z4,In,,,,,,
D,Z4,Z13,FT,Z8,In,,,,,,
N,Z8,Z12,FT,Z9,In,,,,,,
D,Z9,Z13,FT,Z14,Long,Unforced,,Yes,,,
N,,Z12,S,Net,,,,,,,
N,,Z12,S,Z2,In,,,,,,
D,Z2,Z12,FT,Z4,In,,,,,,
N,Z4,Z12,FT,Z12,In,,,,,,
D,Z12,Z12,FT,Z8,In,,,,,,
N,Z8,Z11,FT,Z10,Long,Unforced,,Yes,,,
N,,Z13,S,Z5,Let,,,,,,
N,,Z13,S,Z4,In,,,,,,
D,Z4,,,,No Hit,Forced,,Yes,,,
N,,Z12,S,Z2,In,,,,,,
D,Z2,Z11,FT,Z6,Wide,Forced,,Yes,,,
N,,Z13,S,Z4,In,,,,,,
D,Z4,Z13,FT,Z8,In,,,,,,
N,Z8,Z12,FT,Z10,In,,,,,,
D,Z10,Z13,BT,Z10,In,,,,,,
N,Z10,Z13,FT,Z5,In,,,,,,
D,Z5,Z14,BT,Z7,In,,,,,,
N,Z7,Z12,BS,Z3,In,,,,,,
D,Z3,Z8,FT,Z8,In,,,,,,
N,Z8,Z12,BS,Z9,In,,,,,,
D,Z9,Z13,FT,Z10,In,,,,,,
N,Z10,Z14,FT,Z14,Long,Unforced,,Yes,,,
N,,Z12,S,Z3,In,,,,,,
D,Z3,Z12,BS,Z9,In,,,,,,
N,Z9,Z12,FT,Z7,In,,,,,,
D,Z7,Z12,FL,Z7,In,,,,,,
N,Z7,Z11,FT,Z10,In,,,,,,
D,Z10,Z13,BT,Z16,In,,,,,,
N,Z16,Z2,BV,Z1,In,,,,,,
D,Z1,,,,No Hit,Forced,,Yes,,,
N,,Z13,S,Z9,Long,,,,,,
N,,Z13,S,Z5,In,,,,,,
D,Z5,Z14,FT,,Net,Unforced,,Yes,Yes,,
D,,Z12,S,Z1,In,,,,,,
N,Z1,,,,No Hit,Forced,,Yes,,,
D,,Z13,S,Z4,In,,,,,,
N,Z4,Z13,BT,Z9,In,,,,,,
D,Z9,Z13,BT,Z10,Wide,Unforced,,Yes,,,
D,,Z12,S,Z1 ,In,,,,,,
N,Z1,Z11,BS,Z10,In,,,,,,
D,Z10,Z13,BT,Z7,In,,,,,,
N,Z7,Z12,BS,Z5,In,,,,,,
D,Z5,Z9,BT,Z10,In,,,,,,
N,Z10,Z13,FT,Z7,In,,,,,,
D,Z7,Z12,FT,Z7,In,,,,,,
N,Z7,Z11,BS,Z6,Wide,Forced,,Yes,,,
D,,Z13,S,Z6,In,,,,,,
N,Z6,Z14,FT,Z10,In,,,,,,
D,Z10,Z14,BT,Z8,In,,,,,,
N,Z8,Z12,BT,Z8,In,,,,,,
D,Z8,Z12,FT,Z10,In,,,,,,
N,Z10,Z13,FT,Z13,Long,Unforced,,Yes,,,
D,,Z12,S,Z1,In,,,,,,
N,Z1,,,,No Hit,Forced,,Yes,Yes,,
N,,Z12,S,,Net,,,,,,
N,,Z12,S,Z2,In,,,,,,
D,Z2,Z12,FT,Z4,In,,,,,,
N,Z4,Z12,FT,Z7,In,,,,,,
D,Z7,Z12,FT,Z9,In,,,,,,
N,Z9,Z12,FT,Z10,In,,,,,,
D,Z10,Z14,BT,Z8,In,,,,,,
N,Z8,Z12,FT,Z5,In,,,,,,
D,Z5,,,,No Hit,Forced,,Yes,,,
N,,Z13,S,Z4,In,,,,,,
D,Z4,Z13,FS,Z12,Long,Forced,,Yes,,,
N,,Z12,S,Z2,Let,,,,,,
N,,Z12,S,Z3,In,,,,,,
D,Z3,Z12,BT,Z8,In,,,,,,
N,Z8,Z12,FT,Z13,Long,Unforced,,Yes,,,
N,,Z13,S,Z4,In,,,,,,
D,Z4,Z13,FT,Z8,In,,,,,,
N,Z8,Z12,FT,Z7,In,,,,,,
D,Z7,Z11,FT,Z8,In,,,,,,
N,Z8,Z12,BT,Z10,In,,,,,,
D,Z10,Z13,BT,Z7,In,,,,,,
N,Z7,Z12,BT,Z4,In,,,,,,
D,Z4,Z13,FT,Z7,In,,,,,,
N,Z7,Z11,BT,Z10,Wide,Unforced,,Yes,,,
N,,Z12,S,Z2,Let,,,,,,
N,,Z12,S,Z1,In,,,,,,
D,Z1,Z11,FT,,Net,Forced,,Yes,,,
N,,Z13,S,Z5,In,,,,,,
D,Z5,Z14,FT,Z8,In,,,,,,
N,Z8,Z12,FT,Z8,In,,,,,,
D,Z8,Z12,FT,Z7,In,,,,,,
N,Z7,Z11,BT,Z2,In,,,,,,
D,Z2,Z12,FT,Z9,In,,,,,,
N,Z9,Z14,FT,Z13,Long,Unforced,,Yes,,,
N,,Z12,S,Z3,In,,,,,,
D,Z3,Z12,BS,Z8,In,,,,,,
N,Z8,Z12,FT,Z10,In,,,,,,
D,Z10,Z14,BT,Z16,In,,,,,,
N,Z16,Z5,FV,Z2,In,,,,,,
D,Z2,Z8,FT,Z15,In,,,,,,
N,Z15,Z6,FV,Z5,In,,,,,,
D,Z5,,,,No Hit,Forced,,Yes,,,
N,,Z13,S,Z5,In,,,,,,
D,Z5,Z14,FT,Z9,In,,,,,,
N,Z9,Z13,FT,Z8,In,,,,,,
D,Z8,Z12,FT,Z10,In,,,,,,
N,Z10,Z13,FT,Z4,In,,,,,,
D,Z4,Z13,BT,Z10,In,,,,,,
N,Z10,Z14,FT,,Net,Unforced,,Yes,,,
N,,Z12,S,Z1,In,,,,,,
D,Z1,Z11,FT,Z10,In,,,,,,
N,Z10,Z13,FT,Z7,In,,,,,,
D,Z7,,,,No Hit,Forced,,Yes,,,
N,,Z13,S,Z4,In,,,,,,
D,Z4,Z13,FT,Z4,In,,,,,,
N,Z4,Z12,FT,Z7,In,,,,,,
D,Z7,Z11,FL,,Net,Forced,,Yes,Yes,,
D,,Z12,S,Z2,In,,,,,,
N,Z2,,,,No Hit,Forced,,Yes,,,
D,,Z13,S,Z6,In,,,,,,
N,Z6,Z14,FT,Z10,In,,,,,,
D,Z10,Z10,BS,Z1 ,In,,,,,,
N,Z1,Z1,BT,Z6,In,,,,,,
D,Z6,Z6,BV,Z16,In,,,,,,
N,Z16,Z1,FV,Z2,In,,,,,,
D,Z2,,,,No Hit,Forced,,Yes,,,
D,,Z12,S,,Net,,,,,,
D,,Z12,S,Z2,Let,,,,,,
D,,Z12,S,Z2,In,,,,,,
N,Z2,Z11,BT,Z12,Long,Unforced,,Yes,,,
D,,Z13,S,Z6,Wide,,,,,,
D,,Z13,S,Z4,In,,,,,,
N,Z4,Z13,BT,Z8,In,,,,,,
D,Z8,Z12,FT,Z9,In,,,,,,
N,Z9,Z13,FT,Z10,In,,,,,,
D,Z10,Z13,BT,Z7,In,,,,,,
N,Z7,Z12,BT,Z9,In,,,,,,
D,Z9,Z13,BT,Z9,In,,,,,,
N,Z9,Z12,FT,Z10,Wide,Unforced,,Yes,,,
D,,Z12,S,Z3,In,,,,,,
N,Z3,Z12,FT,Z12,Long,Unforced,,Yes,Yes,,
N,,Z12,S,,Net,,,,,,
N,,Z12,S,Z3,In,,,,,,
D,Z3,Z12,BT,Z3,In,,,,,,
N,Z3,Z12,FT,Z7,In,,,,,,
D,Z7,Z12,FT,Z13,In,,,,,,
N,Z13,Z12,FT,Z5,In,,,,,,
D,Z5,Z13,BT,Z8,In,,,,,,
N,Z8,Z12,BT,Z7,In,,,,,,
D,Z7,Z11,FT,Z10,Wide,Unforced,,Yes,,,
N,,Z13,S,Z6,Wide,,,,,,
N,,Z13,S,Z5,In,,,,,,
D,Z5,Z14,FT,Z7,In,,,,,,
N,Z7,,,,No Hit,Forced,,Yes,,,
N,,Z12,S,Z3,In,,,,,,
D,Z3,Z12,BT,Z9,In,,,,,,
N,Z9,Z13,FT,Z7,In,,,,,,
D,Z7,Z12,FT,Z7,In,,,,,,
N,Z7,Z11,BT,Z10,In,,,,,,
D,Z10,Z13,BT,Z8,In,,,,,,
N,Z8,Z11,FT,Z3,In,,,,,,
D,Z3,Z12,FT,Z7,In,,,,,,
N,Z7,Z11,BT,,Net,Unforced,,Yes,,,
N,,Z13,S,Z4,In,,,,,,
D,Z4,Z13,FT,Z5,In,,,,,,
N,Z5,Z9,FS,Z1,In,,,,,,
D,Z1,,,,No Hit,Forced,,Yes,,,
N,,Z12,S,Z1,In,,,,,,
D,Z1,Z11,FT,Z5,In,,,,,,
N,Z5,Z9,FT,Z5,In,,,,,,
D,Z5,Z14,BS,Z7,In,,,,,,
N,Z7,Z7,FV,Z10,Wide,Unforced,,Yes,,,
N,,Z13,S,,Net,,,,,,
N,,Z13,S,Z5,In,,,,,,
D,Z5,Z14,FT,,Net,Unforced,,Yes,,,
N,,Z12,S,Z2,In,,,,,,
D,Z2,Z11,FT,Z9,In,,,,,,
N,Z9,Z13,FT,Z10,In,,,,,,
D,Z10,Z13,BT,Z4,In,,,,,,
N,Z4,Z13,FT,Z7,In,,,,,,
D,Z7,Z11,FT,Z7,In,,,,,,
N,Z7,Z11,BT,Z9,In,,,,,,
D,Z9,Z12,BT,Z8,In,,,,,,
N,Z8,Z12,FT,Z8,In,,,,,,
D,Z8,Z12,FT,Z8,In,,,,,,
N,Z8,Z12,BT,Z7,In,,,,,,
D,Z7,Z11,FS,Z2,In,,,,,,
N,Z2,Z1,FT,Z7,In,,,,,,
D,Z7,Z11,FT,Z16,In,,,,,,
N,Z16,Z5,BV,,Net,Unforced,,Yes,,,
N,,Z13,S,Z4,In,,,,,,
D,Z4,Z13,FT,Z9,In,,,,,,
N,Z9,Z13,FT,Z7,In,,,,,,
D,Z7,Z11,FS,Z16,In,,,,,,
N,Z16,Z1,BV,Z10,In,,,,,,
D,Z10,,,,No Hit,Forced,,Yes,,,
N,,Z12,S,Z7,Long,,,,,,
N,,Z12,S,Z2,In,,,,,,
D,Z2,Z11,BT,Z8,In,,,,,,
N,Z8,Z12,BT,Z7,In,,,,,,
D,Z7,Z11,FT,Z8,In,,,,,,
N,Z8,Z12,BT,Z10,In,,,,,,
D,Z10,Z13,BT,Z10,In,,,,,,
N,Z10,Z13,FT,Z5,In,,,,,,
D,Z5,Z13,BT,Z8,In,,,,,,
N,Z8,Z12,BT,Z8,In,,,,,,
D,Z8,Z12,FT,,Net,Unforced,,Yes,,,
N,,Z13,S,Z3,Wide,,,,,,
N,,Z13,S,Z5,In,,,,,,
D,Z5,Z14,FT,Z9,In,,,,,,
N,Z9,Z13,FT,Z10,In,,,,,,
D,Z10,Z14,BT,Z10,In,,,,,,
N,Z10,Z14,FT,Z10,In,,,,,,
D,Z10,Z14,BT,Z3,In,,,,,,
N,Z3,Z13,FT,Z7,In,,,,,,
D,Z7,Z12,FT,Z8,In,,,,,,
N,Z8,Z12,BT,Z9,In,,,,,,
D,Z9,Z13,FT,Z10,In,,,,,,
N,Z10,Z13,FT,Z5,In,,,,,,
D,Z5,Z13,BS,Z6,In,,,,,,
N,Z6,Z6,FT,Z6,In,,,,,,
D,Z6,Z6,BS,,Net,Forced,,Yes,Yes,,
D,,Z12,S,Z3,In,,,,,,
N,Z3,Z12,FS,Z10,In,,,,,,
D,Z10,Z13,BT,,Net,Unforced,,Yes,,,
D,,Z13,S,Z6,In,,,,,,
N,Z6,,,,No Hit,Forced,,Yes,,,
D,,Z12,S,,Net,,,,,,
D,,Z12,S,Z2,In,,,,,,
N,Z2,Z11,BT,Z4,In,,,,,,
D,Z4,Z12,FT,Z10,In,,,,,,
N,Z10,Z13,FT,Z10,In,,,,,,
D,Z10,Z14,BT,Z8,In,,,,,,
N,Z8,Z12,BT,Z8,In,,,,,,
D,Z8,Z12,FT,Z7,In,,,,,,
N,Z7,Z12,BT,Z8,In,,,,,,
D,Z8,Z12,FT,Z10,In,,,,,,
N,Z10,Z13,FT,Z10,In,,,,,,
D,Z10,Z14,BT,Z11,Long,Unforced,,Yes,,,
D,,Z13,S,Z4,In,,,,,,
N,Z4,Z13,BS,Z7,In,,,,,,
D,Z7,Z7,FT,Z7,In,,,,,,
N,Z7,,,,No Hit,Forced,,Yes,,,
D,,Z12,S,,Net,,,,,,
D,,Z12,S,Z2,In,,,,,,
N,Z2,Z12,BT,Z9,In,,,,,,
D,Z9,Z13,BT,Z10,In,,,,,,
N,Z10,,,,No Hit,Forced,,Yes,,,
D,,Z13,S,Z4,In,,,,,,
N,Z4,Z13,BT,Z9,In,,,,,,
D,Z9,Z13,FT,Z10,In,,,,,,
N,Z10,Z14,FT,Z5,In,,,,,,
D,Z5,Z10,BT,Z2,In,,,,,,
N,Z2,Z12,BS,Z10,In,,,,,,
D,Z10,Z13,BT,Z5,In,,,,,,
N,Z5,Z14,FT,Z5,In,,,,,,
D,Z5,Z14,BT,Z7,In,,,,,,
N,Z7,Z12,BS,Z9,In,,,,,,
D,Z9,Z10,FT,Z14,Long,Unforced,,Yes,,,
D,,Z12,S,Z1,Wide,,,,,,
D,,Z12,S,Z1,In,,,,,,
N,Z1,Z11,BT,Z1,Wide,Forced,,Yes,,,
D,,Z13,S,Z4,In,,,,,,
N,Z4,Z13,BS,Z5,In,,,,,,
D,Z5,Z10,FT,Z10,In,,,,,,
N,Z10,,,,No Hit,Forced,,Yes,Yes,,
N,,Z12,S,,Net,,,,,,
N,,Z12,S,Z2,In,,,,,,
D,Z2,Z12,BT,Z8,In,,,,,,
N,Z8,Z12,BT,Z8,In,,,,,,
D,Z8,Z12,FT,Z7,In,,,,,,
N,Z7,Z11,BT,Z9,In,,,,,,
D,Z9,Z12,BT,Z7,In,,,,,,
N,Z7,Z12,BT,Z7,In,,,,,,
D,Z7,Z12,FT,Z2,In,,,,,,
N,Z2,Z11,BS,Z9,In,,,,,,
D,Z9,Z9,BS,Z7,In,,,,,,
N,Z7,Z11,FT,Z10,In,,,,,,
D,Z10,Z14,BT,Z8,In,,,,,,
N,Z8,Z12,BS,Z1 ,In,,,,,,
D,Z1 ,Z8,FT,Z13,In,,,,,,
N,Z13,Z13,FL,Z16,In,,,,,,
D,Z16,Z1,FV,Z5,In,,,,,,
N,Z5,Z13,FT,Z14,Long,Forced,,Yes,,,
N,,Z13,S,,Net,,,,,,
N,,Z13,S,Z5,In,,,,,,
D,Z5,Z14,FT,Z9,In,,,,,,
N,Z9,Z13,FT,Z7,Wide,Unforced,,Yes,,,
N,,Z12,S,Z2,In,,,,,,
D,Z2,Z11,FT,Z10,In,,,,,,
N,Z10,Z13,FT,Z7,In,,,,,,
D,Z7,Z12,FT,Z7,In,,,,,,
N,Z7,Z11,BT,Z10,In,,,,,,
D,Z10,Z14,BT,Z10,In,,,,,,
N,Z10,Z13,FT,Z7,In,,,,,,
D,Z7,Z12,FT,Z2,In,,,,,,
N,Z2,Z8,BS,Z5,In,,,,,,
D,Z5,Z5,BT,Z7,In,,,,,,
N,Z7,,,,No Hit,Forced,,Yes,,,
N,,Z13,S,Z4,In,,,,,,
D,Z4,Z13,FT,Z7,In,,,,,,
N,Z7,Z12,BT,Z2,In,,,,,,
D,Z2,Z11,FT,Z10,In,,,,,,
N,Z10,Z13,FT,Z9,In,,,,,,
D,Z9,Z13,BT,Z10,In,,,,,,
N,Z10,Z13,FT,Z9,In,,,,,,
D,Z9,Z13,FT,Z10,In,,,,,,
N,Z10,Z13,FT,Z9,In,,,,,,
D,Z9,Z13,BT,Z7,In,,,,,,
N,Z7,Z12,BS,Z8,In,,,,,,
D,Z8,Z8,FT,Z7,In,,,,,,
N,Z7,Z11,BT,Z2,In,,,,,,
D,Z2,Z11,FT,Z8,In,,,,,,
N,Z8,Z11,FT,Z10,In,,,,,,
D,Z10,Z13,BS,Z7,Wide,Forced,,Yes,,,
N,,Z12,S,Z2,In,,,,,,
D,Z2,Z11,FT,Z8,In,,,,,,
N,Z8,Z12,FT,,Net,Unforced,,Yes,Yes,,
D,,Z12,S,Z3,In,,,,,,
N,Z3,Z12,FS,Z13,In,,,,,,
D,Z13,Z13,BT,Z10,In,,,,,,
N,Z10,Z14,FT,Z10,In,,,,,,
D,Z10,Z14,BT,Z9,In,,,,,,
N,Z9,Z13,FT,Z8,In,,,,,,
D,Z8,Z12,FT,Z8,In,,,,,,
N,Z8,Z12,BT,Z9,In,,,,,,
D,Z9,Z12,BT,Z9,In,,,,,,
N,Z9,Z13,FT,Z5,In,,,,,,
D,Z5,Z14,BT,Z7,In,,,,,,
N,Z7,Z12,BS,Z9,In,,,,,,
D,Z9,Z9,BT,Z10,In,,,,,,
N,Z10,,,,No Hit,Forced,,Yes,,,
D,,Z13,S,Z5,In,,,,,,
N,Z5,Z14,FT,Z10,In,,,,,,
D,Z10,Z14,BT,Z7,In,,,,,,
N,Z7,,,,No Hit,Forced,,Yes,,,
D,,Z12,S,Z2,In,,,,,,
N,Z2,Z11,BT,Z12,Long,Unforced,,Yes,,,
D,,Z13,S,Z5,In,,,,,,
N,Z5,Z14,FT,Z10,In,,,,,,
D,Z10,Z14,BT,Z2,In,,,,,,
N,Z2,Z12,BS,Z7,In,,,,,,
D,Z7,Z11,FT,Z16,In,,,,,,
N,Z16,Z3,FV,Z9,In,,,,,,
D,Z9,,,,No Hit,Forced,,Yes,,,
D,,Z12,S,Z2,In,,,,,,
N,Z2,Z11,BT,Z7,In,,,,,,
D,Z7,Z11,FT,Z9,In,,,,,,
N,Z9,Z13,FT,,Net,Unforced,,Yes,Yes,,
D,,Z13,S,Z3,In,,,,,,
N,Z3,Z12,BT,Z8,In,,,,,,
D,Z8,Z12,FT,Z10,In,,,,,,
N,Z10,Z14,BT,Z10,Wide,Unforced,,Yes,,,
N,,Z13,S,Z6,In,,,,,,
D,Z6,Z14,BT,Z12,Long,Unforced,,Yes,,,
N,,Z12,S,Z1,In,,,,,,
D,Z1,Z11,FT,Z8,In,,,,,,
N,Z8,Z7,FT,Z10,In,,,,,,
D,Z10,Z13,BS,Z1,In,,,,,,
N,Z1,Z1,FT,Z8,In,,,,,,
D,Z8,,,,No Hit,Forced,,Yes,,,
N,,Z13,S,Z9,In,,,,,,
N,,Z13,S,Z5,In,,,,,,
D,Z5,Z14,BT,Z8,In,,,,,,
N,Z8,Z12,FT,Z8,In,,,,,,
D,Z8,Z12,FT,Z14,Long,Unforced,,Yes,Yes,,
D,,Z12,S,Z8,Long,,,,,,
D,,Z12,S,Z1 ,In,,,,,,
N,Z1 ,Z11,BT,Z8,In,,,,,,
D,Z8,Z12,FT,Z9,In,,,,,,
N,Z9,Z13,FT,Z9,In,,,,,,
D,Z9,Z13,BT,Z5,In,,,,,,
N,Z5,Z13,FT,Z7,In,,,,,,
D,Z7,Z12,FT,Z8,In,,,,,,
N,Z8,Z12,BS,Z10,In,,,,,,
D,Z10,Z13,BT,Z14,In,,,,,,
N,Z14,Z14,FT,Z5,In,,,,,,
D,Z5,Z14,BT,Z10,In,,,,,,
N,Z10,Z14,FT,Z9,In,,,,,,
D,Z9,Z13,BT,Z8,In,,,,,,
N,Z8,Z12,BT,Z7,In,,,,,,
D,Z7,Z11,FT,Z7,In,,,,,,
N,Z7,Z11,BT,Z8,In,,,,,,
D,Z8,Z11,FT,Z8,In,,,,,,
N,Z8,Z12,BS,Z5,In,,,,,,
D,Z5,Z9,BS,Z7,In,,,,,,
N,Z7,Z11,BT,Z10,Wide,Unforced,,Yes,,,
N,,Z13,S,Z5,In,,,,,,
D,Z5,Z14,FT,Z9,In,,,,,,
N,Z9,Z13,BT,Z7,In,,,,,,
D,Z7,Z12,BS,Z2,In,,,,,,
N,Z2,Z8,FT,Z7,In,,,,,,
D,Z7,Z11,BT,,Net,Unforced,,Yes,,,
D,,Z12,S,Z3,In,,,,,,
N,Z3,,,,No Hit,Forced,,Yes,,,
D,,Z13,S,Z4,In,,,,,,
N,Z4,Z13,BT,Z9,In,,,,,,
D,Z9,Z13,FT,Z10,In,,,,,,
N,Z10,,,,No Hit,Forced,,Yes,Yes,Yes,
N,,Z12,S,Z2,In,,,,,,
D,Z2,Z11,FT,Z8,In,,,,,,
N,Z8,Z12,FT,Z6,In,,,,,,
D,Z6,Z14,BS,Z7,In,,,,,,
N,Z7,Z12,BT,Z8,In,,,,,,
D,Z8,Z12,FT,Z7,In,,,,,,
N,Z7,Z11,BT,Z7,In,,,,,,
D,Z7,Z11,FT,Z7,In,,,,,,
N,Z7,Z11,BT,Z8,In,,,,,,
D,Z8,Z12,FT,Z10,In,,,,,,
N,Z10,,,,No Hit,Forced,,Yes,,,
N,,Z13,S,,Net,,,,,,
N,,Z13,S,Z9,Long,Unforced,Yes,Yes,,,
N,,Z12,S,Z3,In,,,,,,
D,Z3,Z12,BT,Z7,In,,,,,,
N,Z7,Z11,BT,Z9,In,,,,,,
D,Z9,Z13,FT,Z13,Long,Unforced,,Yes,,,
N,,Z13,S,Z4,In,,,,,,
D,Z4,Z13,FT,Z8,In,,,,,,
N,Z8,Z12,FT,Z7,In,,,,,,
D,Z7,Z12,FT,Z2,In,,,,,,
N,Z2,Z11,BS,Z9,In,,,,,,
D,Z9,Z13,BT,Z8,In,,,,,,
N,Z8,Z12,BT,Z5,In,,,,,,
D,Z5,Z13,BT,Z7,In,,,,,,
N,Z7,Z12,BT,Z10,In,,,,,,
D,Z10,Z13,BT,Z10,In,,,,,,
N,Z10,Z13,FT,Z10,In,,,,,,
D,Z10,Z14,BT,Z10,In,,,,,,
N,Z10,Z14,FT,Z9,In,,,,,,
D,Z9,Z14,FT,Z7,In,,,,,,
N,Z7,Z12,BT,Z7,In,,,,,,
D,Z7,Z11,FT,Z8,In,,,,,,
N,Z8,Z12,BS,Z6,In,,,,,,
D,Z6,Z10,BS,,Net,Unforced,,Yes,,,
N,,Z12,S,Z4,Wide,,,,,,
N,,Z12,S,Z2,In,,,,,,
D,Z2,Z12,BT,Z9,In,,,,,,
N,Z9,Z12,FT,Z4,In,,,,,,
D,Z4,Z13,BT,Z7,In,,,,,,
N,Z7,Z12,BT,,Net,Unforced,,Yes,,,
N,,Z13,S,Z5,In,,,,,,
D,Z5,Z14,BT,Z5,In,,,,,,
N,Z5,Z13,FT,Z7,In,,,,,,
D,Z7,Z12,FT,Z12,Long,Forced,,Yes,,,
N,,Z12,S,Z2,In,,,,,,
D,Z2,Z11,FT,Z11,Long,Unforced,,Yes,,,
N,,Z13,S,Z4,In,,,,,,
D,Z4,Z14,FT,Z2,In,,,,,,
N,Z2,Z8,BT,Z8,In,,,,,,
D,Z8,Z12,FT,Z9,In,,,,,,
N,Z9,Z13,FT,Z10,In,,,,,,
D,Z10,Z14,BT,Z7,In,,,,,,
N,Z7,Z12,BT,Z5,In,,,,,,
D,Z5,Z13,BT,Z10,In,,,,,,
N,Z10,Z14,FT,Z9,In,,,,,,
D,Z9,Z13,BT,Z10,In,,,,,,
N,Z10,Z14,FS,Z10,In,,,,,,
D,Z10,Z14,FT,Z10,In,,,,,,
N,Z10,Z14,FT,Z10,In,,,,,,
D,Z10,Z14,BT,Z7,In,,,,,,
N,Z7,Z12,BS,Z2,In,,,,,,
D,Z2,Z8,FT,Z10,In,,,,,,
N,Z10,Z13,FT,,Net,Unforced,,Yes,,,
N,,Z12,S,Z3,In,,,,,,
D,Z3,Z12,BT,Z8,In,,,,,,
N,Z8,Z12,FT,Z7,In,,,,,,
D,Z7,Z11,FL,Z16,In,,,,,,
N,Z16,Z3,BV,Z7,In,,,,,,
