player,ball lands,ball hit from,stroke type,ball hit to,in/out,forced/unforced,double fault,end of point,end of game,end of set,end of match
F,,Z12,S,Z3,in,,,,,,
N,Z3,,,,no hit,forced,,yes,,,
F,,Z13,S,Z5,in,,,,,,
N,Z5,Z14,FT,Z5,in,,,,,,
F,Z5,Z10,FT,Z9,in,,,,,,
N,Z9,Z13,FT,Z2,in,,,,,,
F,Z2,Z9,FT,Z10,in,,,,,,
N,Z10,Z13,FT,Z10,in,,,,,,
F,Z10,Z14,BS,Z2,in,,,,,,
N,Z2,Z8,BS,Z7,in,,,,,,
F,Z7,Z12,FT,Z7,in,,,,,,
N,Z7,Z11,BT,Z8,in,,,,,,
F,Z8,Z12,FT,Z7,in,,,,,,
N,Z7,Z12,BT,Z7,in,,,,,,
F,Z7,Z11,FT,Z12,long,forced,,yes,,,
F,,Z12,S,Z2,in,,,,,,
N,Z2,,,,no hit,forced,,yes,,,
F,,Z13,S,Z5,in,,,,,,
N,Z5,Z14,FT,Z13,long,unforced,,yes,,,
F,,Z12,S,Z4,wide,,,,,,
F,,Z12,S,Z2,in,,,,,,
N,Z2,Z11,BT,Z5,in,,,,,,
F,Z5,Z13,BT,Z8,in,,,,,,
N,Z8,Z12,FT,Z5,in,,,,,,
F,Z5,Z14,BT,Z11,long,unforced,,yes,,,
F,,Z13,S,Z4,in,,,,,,
N,Z4,Z13,BL,Z9,in,,,,,,
F,Z9,Z10,FT,Z10,in,,,,,,
N,Z10,Z14,FT,,net,unforced,,yes,yes,,
N,,Z12,S,Z7,long,,,,,,
N,,Z12,S,Z2,in,,,,,,
F,Z2,Z11,BT,,net,unforced,,yes,,,
N,,Z13,S,Z4,let,,,,,,
N,,Z13,S,Z5,in,,,,,,
F,Z5,Z14,FT,,net,unforced,,yes,,,
N,,Z12,S,Z3,in,,,,,,
F,Z3,,,,no hit,forced,,yes,,,
N,,Z13,S,,net,unforced,,,,,
N,,Z13,S,Z4,in,,,,,,
F,Z4,Z13,FT,Z12,in,,,,,,
N,Z12,Z12,BL,Z11,in,,,,,,
F,Z11,Z11,FT,Z8,in,,,,,,
N,Z8,Z12,BT,Z9,in,,,,,,
F,Z9,Z13,BT,,net,unforced,,yes,yes,,
F,,Z12,S,Z1,in,,,,,,
N,Z1,Z11,BS,Z6,in,,,,,,
F,Z6,Z6,BV,Z5,in,,,,,,
N,Z5,,,,no hit,forced,,yes,,,
F,,Z13,S,Z3,wide,,,,,,
F,,Z13,S,Z4,in,,,,,,
N,Z4,Z13,BT,Z13,in,,,,,,
F,Z13,Z13,FT,Z9,in,,,,,,
N,Z9,Z12,FT,Z7,in,,,,,,
F,Z7,Z12,FT,Z10,in,,,,,,
N,Z10,Z13,FT,Z10,wide,unforced,,yes,,,
F,,Z12,S,Z1,in,,,,,,
N,Z1,Z11,BT,Z12,long,forced,,yes,,,
F,,Z13,S,Z4,in,,,,,,
N,Z4,,,,no hit,forced,,yes,yes,,
N,,Z12,S,Z1,let,,,,,,
N,,Z12,S,Z4,wide,,,,,,
N,,Z12,S,Z2,in,,,,,,
F,Z2,Z11,BS,Z4,in,,,,,,
N,Z4,Z8,FT,Z10,in,,,,,,
F,Z10,Z14,BT,,net,forced,,yes,,,
N,,Z13,S,,net,,,,,,
N,,Z13,S,Z5,in,,,,,,
F,Z5,Z14,BS,Z8,in,,,,,,
N,Z8,Z12,BT,Z7,in,,,,,,
F,Z7,Z11,FT,Z9,in,,,,,,
N,Z9,Z13,FT,Z10,in,,,,,,
F,Z10,Z14,BS,Z10,in,,,,,,
N,Z10,Z14,FT,,net,unforced,,yes,,,
N,,Z12,S,,let,,,,,,
N,,Z12,S,,net,,,,,,
N,,Z12,S,Z1,in,,,,,,
F,Z1,Z7,FT,,wide,unforced,,yes,,,
N,,Z13,S,Z6,in,,,,,,
F,Z6,Z14,BS,Z8,in,,,,,,
N,Z8,Z8,FT,Z7,in,,,,,,
F,Z7,,,,no hit,forced,,yes,,,
N,,Z12,S,Z2,in,,,,,,
F,Z2,Z11,FT,Z9,in,,,,,,
N,Z9,Z12,FT,,net,unforced,,yes,,,
N,,Z13,S,Z5,in,,,,,,
F,Z5,Z14,BS,Z13,long,forced,,yes,yes,,
F,,Z12,S,Z1,in,,,,,,
N,Z1,,,,no hit,forced,,yes,,,
F,,Z13,S,Z5,in,,,,,,
N,Z5,Z14,FT,Z7,in,,,,,,
F,Z7,Z12,FT,Z7,in,,,,,,
N,Z7,Z12,BT,Z9,in,,,,,,
F,Z9,Z13,FT,Z10,in,,,,,,
N,Z10,,,,no hit,forced,,yes,,,
F,,Z12,S,Z1,let,,,,,,
F,,Z12,S,Z2,in,,,,,,
N,Z2,Z11,BS,Z13,long,unforced,,yes,,,
F,,Z13,S,Z10,wide,,,,,,
F,,Z13,S,Z4,in,,,,,,
N,Z4,Z13,BT,Z9,in,,,,,,
F,Z9,Z13,BT,Z2,in,,,,,,
N,Z2,Z12,BT,Z8,in,,,,,,
F,Z8,Z12,FT,Z7,in,,,,,,
N,Z7,Z11,BT,Z8,in,,,,,,
F,Z8,Z11,FT,,net,unforced,,yes,,,
F,,Z12,S,Z3,in,,,,,,
N,Z3,Z12,FL,,long,forced,,yes,yes,,
N,,Z12,S,Z3,in,,,,,,
F,Z3,Z12,BS,,net,forced,,yes,,,
N,,Z13,S,Z4,in,,,,,,
F,Z4,Z13,FT,,net,forced,,yes,,,
N,,Z12,S,Z2,in,,,,,,
F,Z2,Z11,FT,,long,forced,,yes,,,
N,,Z13,S,Z4,in,,,,,,
F,Z4,,,,no hit,forced,,yes,yes,,
F,,Z12,S,Z3,in,,,,,,
N,Z3,Z11,FT,Z12,in,,,,,,
F,Z12,Z12,FT,Z12,in,,,,,,
N,Z12,Z12,BT,,long,unforced,,yes,,,
F,,Z13,S,Z5,in,,,,,,
N,Z5,Z14,FT,,long,forced,,yes,,,
F,,Z12,S,Z1,wide,,,,,,
F,,Z12,S,Z2,in,,,,,,
N,Z2,Z11,FT,Z10,in,,,,,,
F,Z10,Z13,BT,Z5,in,,,,,,
N,Z5,Z14,FT,Z4,in,,,,,,
F,Z4,Z10,BT,Z8,in,,,,,,
N,Z8,Z12,BT,Z1,wide,forced,,yes,,,
F,,Z13,S,,net,,,,,,
F,,Z13,S,Z5,in,,,,,,
N,Z5,Z13,FT,Z5,in,,,,,,
F,Z5,Z13,BT,Z7,in,,,,,,
N,Z7,Z12,BT,Z2,in,,,,,,
F,Z2,Z7,FT,Z10,in,,,,,,
N,Z10,Z14,FL,Z19,in,,,,,,
F,Z19,Z4,FO,Z3,in,,,,,,
N,Z3,,,,no hit,forced,,yes,yes,,
N,,Z12,S,Z3,in,,,,,,
F,Z3,Z12,BT,Z13,in,,,,,,
N,Z13,Z12,FT,Z8,in,,,,,,
F,Z8,Z12,FT,Z7,in,,,,,,
N,Z7,Z11,BT,Z2,in,,,,,,
F,Z2,Z11,FT,,long,unforced,,yes,,,
N,,Z13,S,,net,unforced,,,,,
N,,Z13,S,Z5,in,,,,,,
F,Z5,Z14,BT,Z8,in,,,,,,
N,Z12,Z12,FT,Z10,in,,,,,,
F,Z10,Z14,BS,Z8,in,,,,,,
N,Z8,Z12,BS,Z8,in,,,,,,
F,Z8,Z14,FT,Z7,in,,,,,,
N,Z7,Z12,BT,,long,unforced,,yes,,,
N,,Z12,S,Z2,in,,,,,,
F,Z2,Z11,FT,Z8,in,,,,,,
N,Z8,Z11,FT,Z9,in,,,,,,
F,Z9,Z13,BT,Z9,in,,,,,,
N,Z9,Z13,FT,Z9,in,,,,,,
F,Z9,Z14,FT,Z2,in,,,,,,
N,Z2,Z12,BT,Z10,in,,,,,,
F,Z10,Z13,BT,Z7,in,,,,,,
N,Z7,Z12,BT,Z2,in,,,,,,
F,Z2,Z7,FT,Z7,in,,,,,,
N,Z7,Z11,BT,,net,forced,,yes,,,
N,,Z13,S,,net,unforced,,,,,
N,,Z13,S,Z5,in,,,,,,
F,Z5,Z14,BT,Z13,in,,,,,,
N,Z13,Z13,FT,Z7,in,,,,,,
F,Z7,Z11,FS,Z5,in,,,,,,
N,Z5,Z9,FT,Z10,in,,,,,,
F,Z10,Z14,BS,,wide,forced,,yes,,,
N,,Z12,S,,net,,,,,,
N,,Z12,S,Z1,in,,,,,,
F,Z1,Z11,FT,Z7,in,,,,,,
N,Z7,Z11,BT,Z13,in,,,,,,
F,Z13,Z13,BT,Z2,in,,,,,,
N,Z2,Z11,BT,Z7,in,,,,,,
F,Z7,Z12,FT,Z8,in,,,,,,
N,Z8,Z11,BT,,long,unforced,,yes,,,
N,,Z13,S,Z4,in,,,,,,
F,Z4,Z13,FT,Z8,in,,,,,,
N,Z8,Z13,FT,Z10,in,,,,,,
F,Z10,Z13,BS,Z7,in,,,,,,
N,Z7,Z11,FT,Z10,in,,,,,,
F,Z10,Z14,BS,Z10,in,,,,,,
N,Z10,Z14,FT,Z10,in,,,,,,
F,Z10,Z14,BS,Z8,in,,,,,,
N,Z8,Z12,FT,Z2,in,,,,,,
F,Z2,Z11,FT,Z7,in,,,,,,
N,Z7,Z11,BT,Z10,in,,,,,,
F,Z10,Z13,BS,Z9,in,,,,,,
N,Z9,Z13,FT,Z5,in,,,,,,
F,Z5,Z14,BT,Z10,in,,,,,,
N,Z10,Z14,FT,Z14,in,,,,,,
F,Z14,Z14,BT,Z8,in,,,,,,
N,Z8,Z12,FT,Z13,in,,,,,,
F,Z13,Z13,BT,Z8,in,,,,,,
N,Z8,Z12,FT,Z14,in,,,,,,
F,Z14,Z14,BS,Z10,in,,,,,,
N,Z10,Z13,FT,Z5,in,,,,,,
F,Z5,Z14,BS,,net,unforced,,yes,,,
N,,Z12,S,Z2,in,,,,,,
F,Z2,Z11,FT,Z8,in,,,,,,
N,Z8,Z12,BT,Z10,in,,,,,,
F,Z10,Z14,FT,,long,unforced,,yes,,,
N,,Z13,S,Z5,in,,,,,,
F,Z5,Z14,BS,Z8,in,,,,,,
N,Z8,Z8,FT,Z10,in,,,,,,
F,Z10,,,,no hit,forced,,yes,yes,,
F,,Z12,S,Z8,long,,,,,,
F,,Z12,S,Z3,in,,,,,,
N,Z3,Z12,FT,,net,forced,,yes,,,
F,,Z13,S,Z4,in,,,,,,
N,Z4,Z13,BT,Z9,in,,,,,,
F,Z9,Z13,FT,Z7,in,,,,,,
N,Z7,Z12,BT,Z2,in,,,,,,
F,Z2,Z11,FT,Z7,wide,unforced,,yes,,,
F,,Z12,S,Z2,let,,,,,,
F,,Z12,S,Z3,in,,,,,,
N,Z3,,,,no hit,forced,,yes,,,
F,,Z13,S,Z9,long,,,,,,
F,,Z13,S,Z5,in,,,,,,
N,Z5,Z13,FT,Z10,in,,,,,,
F,Z10,Z13,BS,Z7,in,,,,,,
N,Z7,Z11,FT,Z8,in,,,,,,
F,Z8,Z11,FT,Z14,long,forced,,yes,,,
F,,Z12,S,Z3,in,,,,,,
N,Z3,,,,no hit,forced,,yes,,,
F,,Z13,S,Z4,in,,,,,,
N,Z4,,,,no hit,forced,,yes,yes,,
N,,Z12,S,Z3,in,,,,,,
F,Z3,Z12,BL,,long,forced,,yes,,,
N,,Z13,S,Z6,wide,,,,,,
N,,Z13,S,Z6,wide,,yes,yes,,,
N,,Z12,S,Z3,in,,,,,,
F,Z3,,,,no hit,forced,,yes,,,
N,,Z13,S,Z4,in,,,,,,
F,Z4,Z13,FT,,wide,forced,,yes,,,
N,,Z12,S,Z1,wide,,,,,,
N,,Z12,S,Z3,in,,,,,,
F,Z3,Z12,BT,,long,forced,,yes,yes,,
F,,Z12,S,Z3,in,,,,,,
N,Z3,Z12,FT,Z9,in,,,,,,
F,Z9,Z13,FT,Z2,in,,,,,,
N,Z2,Z12,BS,,net,unforced,,yes,,,
F,,Z13,S,Z4,in,,,,,,
N,Z4,Z13,BT,Z6,in,,,,,,
F,Z6,Z10,FT,Z8,in,,,,,,
N,Z8,Z2,BS,Z16,in,,,,,,
F,Z16,Z2,FV,Z6,in,,,,,,
N,Z6,Z13,FT,Z16,in,,,,,,
F,Z16,Z16,FV,Z2,in,,,,,,
N,Z2,,,,no hit,forced,,yes,,,
F,,Z13,S,Z3,wide,,,,,,
F,,Z13,S,Z4,in,,,,,,
N,Z4,Z13,BT,,long,unforced,,yes,yes,,
N,,Z12,S,Z1,in,,,,,,
F,Z1,,,,no hit,forced,,yes,,,
N,,Z13,S,Z5,in,,,,,,
F,Z5,Z14,BS,,long,unforced,,yes,,,
N,,Z12,S,Z3,in,,,,,,
F,Z3,Z12,BT,,long,unforced,,yes,,,
N,,Z13,S,,net,,,,,,
N,,Z13,S,Z4,in,,,,,,
F,Z4,Z13,FT,Z12,in,,,,,,
N,Z12,Z12,FT,Z2,in,,,,,,
F,Z2,Z12,FT,Z7,in,,,,,,
N,Z7,,,,no hit,forced,,yes,,,
N,,Z12,S,Z7,long,,,,,,
N,,Z12,S,Z3,in,,,,,,
F,Z3,Z12,BT,Z10,in,,,,,,
N,Z10,Z14,FT,,net,forced,,yes,,,
N,,Z13,S,Z5,in,,,,,,
F,Z5,Z14,BT,Z8,in,,,,,,
N,Z8,Z12,BT,Z8,in,,,,,,
F,Z8,Z12,FT,Z10,in,,,,,,
N,Z10,,,,no hit,forced,,yes,,,
N,,Z12,S,Z2,in,,,,,,
F,Z2,Z11,FT,Z8,in,,,,,,
N,Z8,Z12,FT,Z11,in,,,,,,
F,Z11,Z11,FT,Z8,in,,,,,,
N,Z8,Z11,FT,Z10,in,,,,,,
F,Z10,Z13,BT,Z9,in,,,,,,
N,Z9,Z13,FT,Z9,in,,,,,,
F,Z9,Z13,BT,Z9,in,,,,,,
N,Z9,Z14,FT,Z10,in,,,,,,
F,Z10,Z14,FT,Z7,wide,unforced,,yes,,,
N,,Z13,S,,net,,,,,,
N,,Z13,S,Z5,in,,,,,,
F,Z5,Z14,BT,Z9,in,,,,,,
N,Z9,Z14,FT,Z5,in,,,,,,
F,Z5,Z14,BT,,long,unforced,,yes,yes,,
F,,Z12,S,Z1,wide,,,,,,
F,,Z12,S,,let,,,,,,
F,,Z12,S,Z3,in,,,,,,
N,Z3,Z12,FT,Z6,in,,,,,,
F,Z6,Z14,BT,Z9,in,,,,,,
N,Z9,Z14,FT,Z10,in,,,,,,
F,Z10,Z14,FT,Z7,in,,,,,,
N,Z7,Z11,BS,Z15,in,,,,,,
F,Z15,Z15,FV,Z1,in,,,,,,
N,Z1,Z1,BL,Z20,in,,,,,,
F,Z20,,,,no hit,forced,,yes,,,
N,,Z13,S,Z5,in,,,,,,
F,Z5,Z14,BT,Z7,in,,,,,,
N,Z7,Z12,FT,Z7,in,,,,,,
F,Z7,Z12,FT,Z2,in,,,,,,
N,Z2,Z11,BS,Z10,in,,,,,,
F,Z10,Z13,BT,Z8,in,,,,,,
N,Z8,Z12,BT,,net,unforced,,yes,,,
N,,Z13,S,Z3,in,,,,,,
F,Z3,Z12,BT,,net,forced,,yes,,,
F,,Z13,S,Z5,in,,,,,,
N,Z5,Z14,FT,,net,forced,,yes,,,
F,,Z12,S,Z2,in,,,,,,
N,Z2,Z11,BL,Z13,in,,,,,,
F,Z13,Z14,FT,Z10,in,,,,,,
N,Z10,Z14,FT,Z10,in,,,,,,
F,Z10,Z14,BS,,net,unforced,,yes,,,
N,,Z13,S,Z5,let,,,,,,
N,,Z13,S,Z6,in,,,,,,
F,Z6,Z14,BT,Z8,in,,,,,,
N,Z8,Z12,BT,Z8,in,,,,,,
F,Z8,Z8,FT,Z7,in,,,,,,
N,Z7,Z12,BT,Z16,in,,,,,,
F,Z16,Z16,FV,Z8,in,,,,,,
N,Z8,Z12,BL,,long,unforced,,yes,,,
N,,Z12,S,Z3,in,,,,,,
F,Z3,Z12,BT,Z8,in,,,,,,
N,Z8,Z12,BT,Z9,in,,,,,,
F,Z9,Z13,FT,Z10,in,,,,,,
N,Z10,,,,no hit,forced,,yes,,,
F,,Z13,S,Z4,in,,,,,,
N,Z4,Z13,BS,Z5,in,,,,,,
F,Z5,Z6,FT,Z10,in,,,,,,
N,Z10,Z14,FL,Z18,in,,,,,,
F,Z18,Z18,FO,Z6,in,,,,,,
N,Z6,,,,no hit,forced,,yes,,,
F,,Z12,S,Z1,in,,,,,,
N,Z1,Z11,BT,,net,forced,,yes,,,
N,,Z13,S,Z4,in,,,,,,
F,Z4,Z13,FT,Z3,in,,,,,,
N,Z3,Z8,FT,Z7,in,,,,,,
F,Z7,Z12,FT,Z1,in,,,,,,
N,Z1,Z11,BT,Z8,in,,,,,,
F,Z8,Z12,FT,Z10,in,,,,,,
N,Z10,,,,no hit,forced,,yes,yes,yes,
N,,Z12,S,Z1,wide,,,,,,
N,,Z12,S,Z2,in,,,,,,
F,Z2,Z11,BT,,net,unforced,,yes,,,
N,,Z13,S,Z6,wide,,,,,,
N,,Z13,S,Z5,in,,,,,,
F,Z5,Z14,BT,Z8,in,,,,,,
N,Z8,Z12,FT,Z10,in,,,,,,
F,Z10,Z13,BT,Z5,in,,,,,,
N,Z5,,,,no hit,forced,,yes,,,
N,,Z12,S,Z2,let,,,,,,
N,,Z12,S,Z2,in,,,,,,
F,Z2,Z11,FT,Z13,long,forced,,yes,,,
N,,Z13,S,Z4,let,,,,,,
N,,Z13,S,Z5,in,,,,,,
F,Z5,Z14,BT,Z12,in,,,,,,
N,Z12,Z12,BT,Z13,in,,,,,,
F,Z13,Z13,FT,Z10,in,,,,,,
N,Z10,Z14,FT,Z5,in,,,,,,
F,Z5,Z14,BT,Z10,wide,unforced,,yes,,,
N,,Z12,S,Z2,in,,,,,,
F,Z2,Z11,FT,Z12,in,,,,,,
N,Z12,Z12,FT,Z6,wide,unforced,,yes,,,
N,,Z13,S,Z4,in,,,,,,
F,Z4,Z13,FT,Z12,in,,,,,,
N,Z12,Z12,BT,Z9,in,,,,,,
F,Z9,Z13,FT,Z7,in,,,,,,
N,Z7,Z11,BT,Z2,in,,,,,,
F,Z2,Z11,FL,Z12,long,unforced,,yes,yes,,
F,,Z12,S,Z3,in,,,,,,
N,Z3,Z12,FT,Z7,in,,,,,,
F,Z7,Z12,FT,Z7,in,,,,,,
N,Z7,Z11,BT,Z4,in,,,,,,
F,Z4,Z13,FT,Z2,in,,,,,,
N,Z2,Z11,BT,Z1,in,,,,,,
F,Z1,,,,no hit,forced,,yes,,,
F,,Z13,S,Z4,in,,,,,,
N,Z4,Z12,FT,Z5,in,,,,,,
F,Z5,Z14,FT,Z7,in,,,,,,
N,Z7,Z12,BS,Z8,in,,,,,,
F,Z8,Z12,FT,Z5,in,,,,,,
N,Z5,Z14,FT,,net,forced,,yes,,,
F,,Z12,S,Z3,in,,,,,,
N,Z3,Z12,FT,Z7,in,,,,,,
F,Z7,Z8,FT,Z10,in,,,,,,
N,Z10,Z14,FT,Z14,in,,,,,,
F,Z14,Z14,BT,Z9,in,,,,,,
N,Z9,Z13,FT,Z7,wide,unforced,,yes,,,
F,,Z13,S,Z6,wide,,,,,,
F,,Z13,S,Z5,in,,,,,,
N,Z5,Z13,BT,Z10,in,,,,,,
F,Z10,Z14,BT,Z5,in,,,,,,
N,Z5,Z14,FT,Z10,in,,,,,,
F,Z10,Z14,BT,Z8,in,,,,,,
N,Z8,Z13,BT,Z10,in,,,,,,
F,Z10,,,,no hit,forced,,yes,,,
F,,Z12,S,Z1,in,,,,,,
N,Z1,Z11,BT,Z16,in,,,,,,
F,Z16,Z16,FV,Z10,in,,,,,,
N,Z10,Z13,FT,Z16,in,,,,,,
F,Z16,Z16,BV,Z5,in,,,,,,
N,Z5,Z5,BT,Z15,in,,,,,,
F,Z15,,,,no hit,forced,,yes,,,
F,,Z13,S,Z4,in,,,,,,
N,Z4,Z13,BT,Z4,in,,,,,,
F,Z4,Z13,FT,Z7,in,,,,,,
N,Z7,Z11,BL,Z19,in,,,,,,
F,Z19,Z19,FO,Z5,in,,,,,,
N,Z5,,,,no hit,forced,,yes,,,
F,,Z12,S,Z4,wide,,,,,,
F,,Z12,S,Z2,in,,,,,,
N,Z2,Z12,FT,Z9,in,,,,,,
F,Z9,Z13,FT,Z10,in,,,,,,
N,Z10,Z14,FT,Z5,in,,,,,,
F,Z5,Z14,FT,Z7,in,,,,,,
N,Z7,Z12,BT,Z9,in,,,,,,
F,Z9,Z13,BT,Z2,in,,,,,,
N,Z2,Z12,BS,Z10,in,,,,,,
